speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_3,cluster_0,cluster_8,cluster_1,cluster_5,cluster_13,cluster_2,cluster_4,cluster_7,cluster_6,cluster_11,cluster_9,cluster_12,cluster_10,cluster_15,cluster_16,cluster_14,cluster_3_p,cluster_0_p,cluster_8_p,cluster_1_p,cluster_5_p,cluster_13_p,cluster_2_p,cluster_4_p,cluster_7_p,cluster_6_p,cluster_11_p,cluster_9_p,cluster_12_p,cluster_10_p,cluster_15_p,cluster_16_p,cluster_14_p,n
5052,430025746,POLAND,LUKE,H,VT,M,R,2.0,voting,18740226,1815-11-01,1815,1874,59,0.0,3,11,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.6111111111111112,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5052,430025752,POLAND,LUKE,H,VT,M,R,2.0,voting,18740226,1815-11-01,1815,1874,59,0.0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5052,430025753,POLAND,LUKE,H,VT,M,R,2.0,voting,18740226,1815-11-01,1815,1874,59,0.0002592335793435,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5052,430030132,POLAND,LUKE,H,VT,M,R,2.0,voting,18740318,1815-11-01,1815,1874,59,0.0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5052,430036230,POLAND,LUKE,H,VT,M,R,2.0,voting,18740401,1815-11-01,1815,1874,59,0.0,3,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430050213,SHERMAN,JOHN,S,OH,M,R,,voting,18740506,1823-05-10,1823,1874,51,0.0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4240,430064077,COBURN,JOHN,H,IN,M,R,5.0,voting,18740603,1825-10-27,1825,1874,49,8.52279039806146e-14,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430097099,THURMAN,ALLEN,S,OH,M,D,,voting,18750208,1813-11-13,1813,1875,62,0.0,3,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0.3,0.0,0.0,0.1,0.2,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,440012437,CONGER,OMAR,H,MI,M,R,7.0,voting,18760216,1818-04-01,1818,1876,58,0.0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,440013294,THURMAN,ALLEN,S,OH,M,D,,voting,18760221,1813-11-13,1813,1876,63,0.0,1,0,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
