speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_3,cluster_14,cluster_6,cluster_2,cluster_5,cluster_13,cluster_9,cluster_1,cluster_10,cluster_7,cluster_0,cluster_8,cluster_11,cluster_4,cluster_12,cluster_3_p,cluster_14_p,cluster_6_p,cluster_2_p,cluster_5_p,cluster_13_p,cluster_9_p,cluster_1_p,cluster_10_p,cluster_7_p,cluster_0_p,cluster_8_p,cluster_11_p,cluster_4_p,cluster_12_p,n
5175,430021181,LOGAN,JOHN,S,IL,M,R,,voting,18740216,1826-02-09,1826,1874,48,0.0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4535,430048423,WHEELER,WILLIAM,H,NY,M,R,18.0,voting,18740430,1819-06-30,1819,1874,55,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4555,440007441,BANNING,HENRY,H,OH,M,D,2.0,voting,18760127,1836-11-10,1836,1876,40,0.0,3,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4422,440108045,CARR,NATHAN,H,IN,M,D,3.0,voting,18770226,1833-12-25,1833,1877,44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4669,450113102,WADDELL,ALFRED,H,NC,M,D,3.0,voting,18790214,1834-09-16,1834,1879,45,0.0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4771,460008639,PRICE,HIRAM,H,IA,M,R,2.0,voting,18790419,1814-01-10,1814,1879,65,0.0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4589,460050532,FERRY,THOMAS,S,MI,M,R,,voting,18800128,1827-06-10,1827,1880,53,0.0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,460140908,LOGAN,JOHN,S,IL,M,R,,voting,18810124,1826-02-09,1826,1881,55,0.0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,470189631,HALE,EUGENE,S,ME,M,R,,voting,18830222,1836-06-09,1836,1883,47,0.0,2,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0.2,0.0,0.0,0.1,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4953,470190678,ANTHONY,HENRY,S,RI,M,R,,voting,18830223,1815-04-01,1815,1883,68,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4968,480023407,BUDD,JAMES,H,CA,M,D,2.0,voting,18840305,1851-05-18,1851,1884,33,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5697,480029261,BLAIR,HENRY,S,NH,M,R,,voting,18840319,1834-12-06,1834,1884,50,0.0,10,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0.5,0.2,0.0,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4796,480081442,WILLIAMS,JOHN,S,KY,M,D,,voting,18840624,1818-07-10,1818,1884,66,0.0,7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
