speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_5,cluster_2,cluster_0,cluster_8,cluster_10,cluster_18,cluster_6,cluster_12,cluster_3,cluster_9,cluster_7,cluster_11,cluster_14,cluster_19,cluster_13,cluster_16,cluster_15,cluster_17,cluster_1,cluster_4,cluster_5_p,cluster_2_p,cluster_0_p,cluster_8_p,cluster_10_p,cluster_18_p,cluster_6_p,cluster_12_p,cluster_3_p,cluster_9_p,cluster_7_p,cluster_11_p,cluster_14_p,cluster_19_p,cluster_13_p,cluster_16_p,cluster_15_p,cluster_17_p,cluster_1_p,cluster_4_p,n
4301,430005592,MAYNARD,HORACE,H,TN,M,R,-1.0,voting,18731217,1814-08-30,1814,1873,59,0.0,1,1,9,0,0,1,42,0,5,0,1,0,0,0,0,0,0,0,0,0,0.016666666666666666,0.016666666666666666,0.15,0.0,0.0,0.016666666666666666,0.7,0.0,0.08333333333333333,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
4315,430042447,MYERS,LEONARD,H,PA,M,R,3.0,voting,18740415,1827-11-13,1827,1874,47,0.0,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4386,430042474,WILLARD,CHARLES,H,VT,M,R,1.0,voting,18740415,1827-06-18,1827,1874,47,2.149469789566507e-05,0,5,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.5,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4306,430042489,MCKEE,GEORGE,H,MS,M,R,5.0,voting,18740415,1837-10-02,1837,1874,37,8.825469815056189e-12,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4306,430042492,MCKEE,GEORGE,H,MS,M,R,5.0,voting,18740415,1837-10-02,1837,1874,37,0.0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430070805,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740615,1831-11-19,1831,1874,43,0.0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4452,430076426,HOSKINS,GEORGE,H,NY,M,R,30.0,voting,18740620,1824-12-24,1824,1874,50,8.57376735032335e-06,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430077646,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740622,1831-11-19,1831,1874,43,0.0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4730,430086540,FORT,GREENBURY,H,IL,M,R,8.0,voting,18750114,1825-10-17,1825,1875,50,7.276664867637195e-09,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5052,430115126,POLAND,LUKE,H,VT,M,R,2.0,voting,18750302,1815-11-01,1815,1875,60,0.0,0,0,0,4,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.0,0.05,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4800,430115334,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18750302,1831-11-19,1831,1875,44,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5485,440024978,RANDALL,SAMUEL,H,PA,M,D,3.0,voting,18760330,1828-10-10,1828,1876,48,2.355922577128228e-09,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5485,440024990,RANDALL,SAMUEL,H,PA,M,D,3.0,voting,18760330,1828-10-10,1828,1876,48,2.8221945802843492e-14,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4793,440025010,WELLS,ERASTUS,H,MO,M,D,2.0,voting,18760330,1823-12-02,1823,1876,53,0.0,0,18,14,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0.0,0.45,0.35,0.025,0.025,0.025,0.025,0.025,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
