speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_10,cluster_3,cluster_5,cluster_4,cluster_9,cluster_7,cluster_1,cluster_0,cluster_8,cluster_6,cluster_2_p,cluster_10_p,cluster_3_p,cluster_5_p,cluster_4_p,cluster_9_p,cluster_7_p,cluster_1_p,cluster_0_p,cluster_8_p,cluster_6_p,n
4225,440006437,BOGY,LEWIS,S,MO,M,D,,voting,18760125,1813-04-09,1813,1876,63,44042251,0.0,8,0,1,0,0,0,0,1,0,0,0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
5034,440055155,MAGINNIS,MARTIN,H,MT,M,D,-1.0,nonvoting,18760627,1841-10-27,1841,1876,35,44050340,0.0,3,0,0,1,2,0,0,0,1,0,0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,7
5482,450057329,PLUMB,PRESTON,S,KS,M,R,,voting,18780502,1837-10-12,1837,1878,41,45054821,0.0,7,0,3,0,0,0,0,0,0,0,0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5138,450070772,EUSTIS,JAMES,S,LA,M,D,,voting,18780528,1834-08-27,1834,1878,44,45051381,3.4187982124439075e-10,8,0,2,0,0,0,0,0,0,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5493,450096420,RYAN,THOMAS,H,KS,M,R,3.0,voting,18781213,1837-11-25,1837,1878,41,45054930,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4846,450098014,GUNTER,THOMAS,H,AR,M,D,4.0,voting,18781218,1826-09-18,1826,1878,52,45048460,6.193540995902816e-16,8,0,2,0,0,0,0,0,0,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4675,450110965,WIGGINTON,PETER,H,CA,M,D,4.0,voting,18790211,1839-09-06,1839,1879,40,45046750,0.0,5,0,1,1,0,0,1,0,2,0,0,0.5,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.0,10
6403,460055613,ALLISON,WILLIAM,S,IA,M,R,,voting,18800216,1829-03-02,1829,1880,51,46064031,0.0,9,0,0,0,0,0,0,0,0,1,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10
6403,460055617,ALLISON,WILLIAM,S,IA,M,R,,voting,18800216,1829-03-02,1829,1880,51,46064031,1.7831799076984266e-31,9,0,1,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4889,460056755,MCMILLAN,SAMUEL,S,MN,M,R,,voting,18800219,1826-02-22,1826,1880,54,46048891,0.0,4,0,5,0,1,0,0,0,0,0,0,0.4,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,470144464,EDMUNDS,GEORGE,S,VT,M,R,,voting,18830104,1828-02-01,1828,1883,55,47052681,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6093,480033867,HOLMAN,WILLIAM,H,IN,M,D,4.0,voting,18840328,1822-09-06,1822,1884,62,48060930,0.0002182058830749,7,0,2,0,1,0,0,0,0,0,0,0.7,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5341,480045430,THOMAS,JOHN,H,IL,M,R,20.0,voting,18840418,1846-10-11,1846,1884,38,48053410,0.0,8,0,2,0,0,0,0,0,0,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5041,480049179,MULDROW,HENRY,H,MS,M,D,1.0,voting,18840425,1837-02-08,1837,1884,47,48050410,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5482,480090968,PLUMB,PRESTON,S,KS,M,R,,voting,18840705,1837-10-12,1837,1884,47,48054821,0.0,7,0,1,0,1,0,0,0,1,0,0,0.7,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,10
6348,490074576,MITCHELL,JOHN,S,OR,M,R,,voting,18860616,1835-06-22,1835,1886,51,49063481,0.0,4,0,5,0,1,0,0,0,0,0,0,0.4,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5482,490074606,PLUMB,PRESTON,S,KS,M,R,,voting,18860616,1837-10-12,1837,1886,49,49054821,0.0,1,0,7,0,2,0,0,0,0,0,0,0.1,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
5686,490101310,PERKINS,BISHOP,H,KS,M,R,3.0,voting,18860719,1841-10-18,1841,1886,45,49056860,0.0,6,0,3,0,0,1,0,0,0,0,0,0.6,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5507,490130027,THOMPSON,ALBERT,H,OH,M,R,12.0,voting,18870124,1842-01-23,1842,1887,45,49055070,0.0,5,0,5,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5343,500057377,TOOLE,JOSEPH,H,MT,M,D,-1.0,nonvoting,18880524,1851-05-12,1851,1888,37,50053430,0.0,9,0,0,0,0,0,0,0,0,1,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10
5318,510119324,PADDOCK,ALGERNON,S,NE,M,R,,voting,18900808,1830-11-09,1830,1890,60,51053181,0.0,8,0,2,0,0,0,0,0,0,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5318,510119444,PADDOCK,ALGERNON,S,NE,M,R,,voting,18900808,1830-11-09,1830,1890,60,51053181,0.0,7,1,2,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5463,510121707,MOODY,GIDEON,S,SD,M,R,,voting,18900812,1832-10-16,1832,1890,58,51054631,0.0,9,0,0,0,1,0,0,0,0,0,0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6495,510171404,TELLER,HENRY,S,CO,M,R,,voting,18901218,1830-05-23,1830,1890,60,51064951,0.0,9,0,0,0,1,0,0,0,0,0,0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5264,510222299,DAWES,HENRY,S,MA,M,R,,voting,18910227,1816-10-30,1816,1891,75,51052641,0.0,20,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6495,520002395,TELLER,HENRY,S,CO,M,R,,voting,18920114,1830-05-23,1830,1892,62,52064951,0.0,2,0,7,0,0,1,0,0,0,0,0,0.2,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
