speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_5,cluster_0,cluster_4,cluster_2,cluster_3,cluster_1,cluster_7,cluster_8,cluster_13,cluster_9,cluster_6,cluster_10,cluster_12,cluster_14,cluster_11,cluster_5_p,cluster_0_p,cluster_4_p,cluster_2_p,cluster_3_p,cluster_1_p,cluster_7_p,cluster_8_p,cluster_13_p,cluster_9_p,cluster_6_p,cluster_10_p,cluster_12_p,cluster_14_p,cluster_11_p,n
4027,430000767,SCOTT,JOHN,S,PA,M,R,,voting,18730314,1824-07-24,1824,1873,49,43040271,0.0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4026,430000800,SCHURZ,CARL,S,MO,M,L,,voting,18730314,1829-03-02,1829,1873,44,43040261,0.0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4801,430001978,WINDOM,WILLIAM,S,MN,M,R,,voting,18730326,1827-05-10,1827,1873,46,43048011,0.0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4566,430002238,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18731201,1818-11-05,1818,1873,55,43045660,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430002393,BECK,JAMES,H,KY,M,D,7.0,voting,18731202,1822-02-13,1822,1873,51,43053670,0.0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4609,430002614,HEREFORD,FRANK,H,WV,M,D,3.0,voting,18731203,1825-07-04,1825,1873,48,43046090,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430002750,COX,SAMUEL,H,NY,M,D,6.0,voting,18731203,1824-09-30,1824,1873,49,43053990,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430003513,COX,SAMUEL,H,NY,M,D,6.0,voting,18731209,1824-09-30,1824,1873,49,43053990,0.0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4520,430004004,THURMAN,ALLEN,S,OH,M,D,,voting,18731211,1813-11-13,1813,1873,60,43045201,0.0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5841,430004005,SHERMAN,JOHN,S,OH,M,R,,voting,18731211,1823-05-10,1823,1873,50,43058411,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5264,430004753,DAWES,HENRY,H,MA,M,R,11.0,voting,18731215,1816-10-30,1816,1873,57,43052640,4.284788600566537e-18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4390,430004990,WILSON,JEREMIAH,H,IN,M,R,4.0,voting,18731216,1828-11-25,1828,1873,45,43043900,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
