speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_5,cluster_7,cluster_2,cluster_0,cluster_12,cluster_4,cluster_9,cluster_3,cluster_1,cluster_11,cluster_14,cluster_13,cluster_10,cluster_15,cluster_16,cluster_6,cluster_8,cluster_5_p,cluster_7_p,cluster_2_p,cluster_0_p,cluster_12_p,cluster_4_p,cluster_9_p,cluster_3_p,cluster_1_p,cluster_11_p,cluster_14_p,cluster_13_p,cluster_10_p,cluster_15_p,cluster_16_p,cluster_6_p,cluster_8_p,n
6348,430020310,MITCHELL,JOHN,S,OR,M,R,,voting,18740212,1835-06-22,1835,1874,39,43063481,0.0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4635,430095993,PHILLIPS,WILLIAM,H,KS,M,R,-1.0,voting,18750204,1824-01-14,1824,1875,51,43046350,0.0,5,0,5,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0.25,0.0,0.25,0.3,0.0,0.1,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6554,430107681,HALE,EUGENE,H,ME,M,R,5.0,voting,18750224,1836-06-09,1836,1875,39,43065540,0.0,0,0,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4214,430110853,ALBRIGHT,CHARLES,H,PA,M,R,-1.0,voting,18750226,1830-12-13,1830,1875,45,43042140,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4285,430113021,KELLOGG,STEPHEN,H,CT,M,R,2.0,voting,18750301,1822-04-05,1822,1875,53,43042850,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4345,430115039,SCOFIELD,GLENNI,H,PA,M,R,-1.0,voting,18750302,1817-03-11,1817,1875,58,43043450,1.5815176242204053e-07,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4351,430118842,SHELDON,LIONEL,H,LA,M,R,2.0,voting,18750303,1828-08-30,1828,1875,47,43043510,0.0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,440000704,MORTON,OLIVER,S,IN,M,R,,voting,18750316,1823-08-04,1823,1875,52,44043141,2.1856016004758984e-24,1,1,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.3,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,440003192,COX,SAMUEL,H,NY,M,D,6.0,voting,18760110,1824-09-30,1824,1876,52,44053990,0.0,2,0,1,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.05,0.6,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4663,440003378,THORNBURGH,JACOB,H,TN,M,R,2.0,voting,18760111,1837-07-03,1837,1876,39,44046630,0.0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
