speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_0,cluster_9,cluster_6,cluster_12,cluster_1,cluster_8,cluster_2,cluster_7,cluster_3,cluster_14,cluster_11,cluster_15,cluster_13,cluster_10,cluster_5,cluster_4,cluster_0_p,cluster_9_p,cluster_6_p,cluster_12_p,cluster_1_p,cluster_8_p,cluster_2_p,cluster_7_p,cluster_3_p,cluster_14_p,cluster_11_p,cluster_15_p,cluster_13_p,cluster_10_p,cluster_5_p,cluster_4_p,n
4302,430013609,MCCREERY,THOMAS,S,KY,M,D,,voting,18740126,1816-12-12,1816,1874,58,43043021,0.0,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4026,430032018,SCHURZ,CARL,S,MO,M,L,,voting,18740323,1829-03-02,1829,1874,45,43040261,0.0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4702,430111080,CARPENTER,MATTHEW,S,WI,M,R,,voting,18750227,1824-12-22,1824,1875,51,43047021,0.0,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10
4443,440006547,GOODIN,JOHN,H,KS,M,D,2.0,voting,18760125,1836-12-14,1836,1876,40,44044430,0.0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4498,440018314,PURMAN,WILLIAM,H,FL,M,R,1.0,voting,18760308,1840-04-11,1840,1876,36,44044980,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4603,440040284,HARRISON,CARTER,H,IL,M,D,2.0,voting,18760523,1825-02-15,1825,1876,51,44046030,0.0,2,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,440041152,SARGENT,AARON,S,CA,M,R,,voting,18760531,1827-09-28,1827,1876,49,44043421,0.0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,440071884,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18760804,1831-11-19,1831,1876,45,44048000,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5221,440092724,TUCKER,JOHN,H,VA,M,D,6.0,voting,18770123,1823-12-24,1823,1877,54,44052210,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,450005090,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18771115,1814-04-12,1814,1877,63,45054340,0.0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
