speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_3,cluster_1,cluster_5,cluster_4,cluster_0,cluster_2,cluster_6,cluster_8,cluster_12,cluster_11,cluster_9,cluster_10,cluster_7,cluster_3_p,cluster_1_p,cluster_5_p,cluster_4_p,cluster_0_p,cluster_2_p,cluster_6_p,cluster_8_p,cluster_12_p,cluster_11_p,cluster_9_p,cluster_10_p,cluster_7_p,n
5069,430000257,SAULSBURY,ELI,S,DE,M,D,,voting,18730307,1817-12-29,1817,1873,56,43050691,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4641,430000366,RAINEY,JOSEPH,H,SC,M,R,1.0,voting,18730310,1832-06-21,1832,1873,41,43046410,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,430000489,MORTON,OLIVER,S,IN,M,R,,voting,18730312,1823-08-04,1823,1873,50,43043141,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4091,430000862,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730317,1830-03-01,1830,1873,43,43040911,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3979,430001177,HAMILTON,WILLIAM,S,MD,M,D,,voting,18730320,1820-09-08,1820,1873,53,43039791,0.0,1,0,0,0,2,7,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4091,430001422,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730322,1830-03-01,1830,1873,43,43040911,0.0,0,0,0,0,3,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4210,430001784,WRIGHT,GEORGE,S,IA,M,R,,voting,18730325,1820-03-24,1820,1873,53,43042101,0.0,0,0,0,0,5,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4072,430001898,ALCORN,JAMES,S,MS,M,R,,voting,18730325,1816-11-04,1816,1873,57,43040721,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4072,430002027,ALCORN,JAMES,S,MS,M,R,,voting,18730326,1816-11-04,1816,1873,57,43040721,0.0,0,0,0,0,9,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,430006072,LOGAN,JOHN,S,IL,M,R,,voting,18731218,1826-02-09,1826,1873,47,43051751,0.0,3,1,0,4,2,0,0,0,0,0,0,0,0,0.3,0.1,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430006758,BECK,JAMES,H,KY,M,D,7.0,voting,18731219,1822-02-13,1822,1873,51,43053670,0.0,0,1,4,1,4,0,0,0,0,0,0,0,0,0.0,0.1,0.4,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430007303,FLANAGAN,JAMES,S,TX,M,R,,voting,18740106,1805-09-05,1805,1874,69,43040651,0.0,3,0,0,1,2,1,3,0,0,0,0,0,0,0.3,0.0,0.0,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10
5550,430007398,BLOUNT,JAMES,H,GA,M,D,6.0,voting,18740106,1837-09-12,1837,1874,37,43055500,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430008210,BECK,JAMES,H,KY,M,D,7.0,voting,18740108,1822-02-13,1822,1874,52,43053670,8.218726972587886e-14,0,8,0,0,0,2,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4026,430009954,SCHURZ,CARL,S,MO,M,L,,voting,18740114,1829-03-02,1829,1874,45,43040261,0.0,1,0,0,0,3,6,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4210,430011346,WRIGHT,GEORGE,S,IA,M,R,,voting,18740119,1820-03-24,1820,1874,54,43042101,0.0,1,2,0,2,4,11,0,0,0,0,0,0,0,0.05,0.1,0.0,0.1,0.2,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4311,430011994,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18740121,1830-09-15,1830,1874,44,43043111,0.0,0,1,7,0,0,0,1,0,0,0,0,0,0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,9
4323,430012135,PARKER,HOSEA,H,NH,M,D,3.0,voting,18740121,1833-05-30,1833,1874,41,43043230,0.0,0,4,0,1,11,4,0,0,0,0,0,0,0,0.0,0.2,0.0,0.05,0.55,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4702,430015394,CARPENTER,MATTHEW,S,WI,M,R,,voting,18740130,1824-12-22,1824,1874,50,43047021,0.0,1,0,0,0,4,5,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4454,430019505,HURLBUT,STEPHEN,H,IL,M,R,4.0,voting,18740210,1815-11-29,1815,1874,59,43044540,0.0,0,0,0,0,7,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5133,430021073,EDEN,JOHN,H,IL,M,D,15.0,voting,18740214,1826-02-01,1826,1874,48,43051330,0.0,0,0,0,0,7,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4230,430021155,CAMERON,SIMON,S,PA,M,R,,voting,18740216,1799-03-08,1799,1874,75,43042301,0.0,1,1,0,0,3,5,0,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,430022068,MORTON,OLIVER,S,IN,M,R,,voting,18740218,1823-08-04,1823,1874,51,43043141,0.0,0,5,1,3,0,1,0,0,0,0,0,0,0,0.0,0.5,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4311,430023662,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18740220,1830-09-15,1830,1874,44,43043111,0.0,1,8,0,0,0,1,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4311,430023670,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18740220,1830-09-15,1830,1874,44,43043111,0.0,0,0,2,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4386,430024671,WILLARD,CHARLES,H,VT,M,R,1.0,voting,18740224,1827-06-18,1827,1874,47,43043860,0.0,0,0,3,4,0,3,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4514,430024679,STOWELL,WILLIAM,H,VA,M,R,4.0,voting,18740224,1840-07-26,1840,1874,34,43045140,0.0,0,1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4653,430027536,SAYLER,MILTON,H,OH,M,D,1.0,voting,18740304,1831-11-04,1831,1874,43,43046530,0.0,0,1,0,0,1,8,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7544,430029270,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18740316,1836-05-07,1836,1874,38,43075440,0.0,0,1,0,2,6,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4317,430030084,NIBLACK,WILLIAM,H,IN,M,D,1.0,voting,18740318,1822-05-19,1822,1874,52,43043170,0.0,0,0,0,0,5,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430033076,CONKLING,ROSCOE,S,NY,M,R,,voting,18740325,1829-10-30,1829,1874,45,43047111,0.00076849286868,0,0,0,0,9,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430033090,CONKLING,ROSCOE,S,NY,M,R,,voting,18740325,1829-10-30,1829,1874,45,43047111,0.0,0,2,0,1,1,6,0,0,0,0,0,0,0,0.0,0.2,0.0,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4859,430035522,HUBBELL,JAY,H,MI,M,R,9.0,voting,18740331,1829-09-15,1829,1874,45,43048590,0.0,1,0,0,0,4,5,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5596,430035644,GORDON,JOHN,S,GA,M,D,,voting,18740401,1832-02-06,1832,1874,42,43055961,0.0,0,1,0,0,7,1,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4314,430042751,MORTON,OLIVER,S,IN,M,R,,voting,18740416,1823-08-04,1823,1874,51,43043141,0.0,1,1,2,2,1,3,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430045360,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740422,1831-11-19,1831,1874,43,43048000,0.0,0,1,2,0,7,0,0,0,0,0,0,0,0,0.0,0.1,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4637,430047412,POTTER,CLARKSON,H,NY,M,D,11.0,voting,18740427,1825-04-25,1825,1874,49,43046370,0.0,0,3,0,1,1,5,0,0,0,0,0,0,0,0.0,0.3,0.0,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430047634,SARGENT,AARON,S,CA,M,R,,voting,18740428,1827-09-28,1827,1874,47,43043421,0.0,0,3,0,0,3,4,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430048122,SARGENT,AARON,S,CA,M,R,,voting,18740430,1827-09-28,1827,1874,47,43043421,0.0,1,0,5,0,4,0,0,0,0,0,0,0,0,0.1,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4217,430048381,ARTHUR,WILLIAM,H,KY,M,D,6.0,voting,18740430,1825-03-03,1825,1874,49,43042170,0.0,0,4,0,3,1,2,0,0,0,0,0,0,0,0.0,0.4,0.0,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,430049683,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740505,1828-02-01,1828,1874,46,43052681,0.0,1,0,2,0,3,4,0,0,0,0,0,0,0,0.1,0.0,0.2,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4072,430049788,ALCORN,JAMES,S,MS,M,R,,voting,18740505,1816-11-04,1816,1874,58,43040721,0.0,1,3,0,1,1,4,0,0,0,0,0,0,0,0.1,0.3,0.0,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4266,430050354,GUNCKEL,LEWIS,H,OH,M,R,4.0,voting,18740506,1826-10-15,1826,1874,48,43042660,4.0010301047700007e-10,1,1,0,8,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430051816,THURMAN,ALLEN,S,OH,M,D,,voting,18740511,1813-11-13,1813,1874,61,43045201,0.0,5,1,3,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4386,430052337,WILLARD,CHARLES,H,VT,M,R,1.0,voting,18740511,1827-06-18,1827,1874,47,43043860,0.0,6,1,2,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4637,430052850,POTTER,CLARKSON,H,NY,M,D,11.0,voting,18740512,1825-04-25,1825,1874,49,43046370,0.0,0,6,2,0,1,0,1,0,0,0,0,0,0,0.0,0.6,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4228,430054146,BROMBERG,FREDERICK,H,AL,M,L,1.0,voting,18740514,1837-06-19,1837,1874,37,43042280,0.0,1,4,2,2,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4210,430054613,WRIGHT,GEORGE,S,IA,M,R,,voting,18740515,1820-03-24,1820,1874,54,43042101,0.0,1,3,0,0,3,3,0,0,0,0,0,0,0,0.1,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4214,430054936,ALBRIGHT,CHARLES,H,PA,M,R,-1.0,voting,18740515,1830-12-13,1830,1874,44,43042140,7.389865571999516e-20,0,2,1,0,4,3,0,0,0,0,0,0,0,0.0,0.2,0.1,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430055689,CONKLING,ROSCOE,S,NY,M,R,,voting,18740518,1829-10-30,1829,1874,45,43047111,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5024,430056653,KASSON,JOHN,H,IA,M,R,7.0,voting,18740519,1822-01-11,1822,1874,52,43050240,0.0,0,4,1,0,1,3,1,0,0,0,0,0,0,0.0,0.4,0.1,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4637,430060206,POTTER,CLARKSON,H,NY,M,D,11.0,voting,18740527,1825-04-25,1825,1874,49,43046370,0.0,2,5,2,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4485,430064541,NEAL,LAWRENCE,H,OH,M,D,7.0,voting,18740604,1844-09-22,1844,1874,30,43044850,0.0,0,0,0,0,6,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430067382,CONKLING,ROSCOE,S,NY,M,R,,voting,18740610,1829-10-30,1829,1874,45,43047111,0.0,1,6,0,1,1,1,0,0,0,0,0,0,0,0.1,0.6,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430067427,CONKLING,ROSCOE,S,NY,M,R,,voting,18740610,1829-10-30,1829,1874,45,43047111,0.0,0,2,0,6,2,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4268,430068722,HAGER,JOHN,S,CA,M,D,,voting,18740612,1818-03-12,1818,1874,56,43042681,0.0,0,1,1,0,2,6,0,0,0,0,0,0,0,0.0,0.1,0.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4511,430068819,STARKWEATHER,HENRY,H,CT,M,R,3.0,voting,18740612,1826-04-29,1826,1874,48,43045110,0.0,0,0,1,0,17,2,0,0,0,0,0,0,0,0.0,0.0,0.05,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4637,430071760,POTTER,CLARKSON,H,NY,M,D,11.0,voting,18740616,1825-04-25,1825,1874,49,43046370,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5069,430074099,SAULSBURY,ELI,S,DE,M,D,,voting,18740619,1817-12-29,1817,1874,57,43050691,0.0,1,2,0,0,10,7,0,0,0,0,0,0,0,0.05,0.1,0.0,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4162,430077204,MORRILL,LOT,S,ME,M,R,,voting,18740622,1813-05-03,1813,1874,61,43041621,0.0,0,8,0,0,0,0,1,1,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
4637,430080052,POTTER,CLARKSON,H,NY,M,D,11.0,voting,18741211,1825-04-25,1825,1874,49,43046370,0.0,1,2,2,0,4,1,0,0,0,0,0,0,0,0.1,0.2,0.2,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4535,430081013,WHEELER,WILLIAM,H,NY,M,R,18.0,voting,18741216,1819-06-30,1819,1874,55,43045350,0.0,1,3,0,0,2,4,0,0,0,0,0,0,0,0.1,0.3,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4416,430082892,BURLEIGH,JOHN,H,ME,M,R,1.0,voting,18741222,1822-10-09,1822,1874,52,43044160,0.0,0,2,2,1,0,5,0,0,0,0,0,0,0,0.0,0.2,0.2,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430083335,THURMAN,ALLEN,S,OH,M,D,,voting,18750105,1813-11-13,1813,1875,62,43045201,0.0,1,3,1,0,2,3,0,0,0,0,0,0,0,0.1,0.3,0.1,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4579,430085310,DAVIS,HENRY,S,WV,M,D,,voting,18750111,1823-11-16,1823,1875,52,43045791,5.87124092338454e-10,3,4,1,0,0,0,0,1,0,0,0,0,0,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9
4314,430085378,MORTON,OLIVER,S,IN,M,R,,voting,18750111,1823-08-04,1823,1875,52,43043141,0.0,0,0,1,0,4,5,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5486,430087718,RANSOM,MATT,S,NC,M,D,,voting,18750116,1826-10-08,1826,1875,49,43054861,0.0,0,1,0,0,4,4,1,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4953,430089801,ANTHONY,HENRY,S,RI,M,R,,voting,18750122,1815-04-01,1815,1875,60,43049531,0.0,0,3,0,0,0,5,0,0,0,0,0,0,0,0.0,0.375,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
4711,430089809,CONKLING,ROSCOE,S,NY,M,R,,voting,18750122,1829-10-30,1829,1875,46,43047111,0.0,0,1,8,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4381,430098587,WARD,MARCUS,H,NJ,M,R,6.0,voting,18750210,1812-11-09,1812,1875,63,43043810,0.0,0,2,0,0,3,5,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4953,430101426,ANTHONY,HENRY,S,RI,M,R,,voting,18750217,1815-04-01,1815,1875,60,43049531,0.0,0,0,0,0,9,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4310,430101634,MERRIAM,CLINTON,H,NY,M,R,21.0,voting,18750217,1824-03-25,1824,1875,51,43043100,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
