speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_16,cluster_0,cluster_8,cluster_6,cluster_7,cluster_3,cluster_1,cluster_4,cluster_13,cluster_9,cluster_12,cluster_11,cluster_14,cluster_15,cluster_2,cluster_10,cluster_5,cluster_16_p,cluster_0_p,cluster_8_p,cluster_6_p,cluster_7_p,cluster_3_p,cluster_1_p,cluster_4_p,cluster_13_p,cluster_9_p,cluster_12_p,cluster_11_p,cluster_14_p,cluster_15_p,cluster_2_p,cluster_10_p,cluster_5_p,n
5841,440029550,SHERMAN,JOHN,S,OH,M,R,,voting,18760412,1823-05-10,1823,1876,53,44058411,0.0,8,2,6,3,2,1,4,2,0,1,0,0,0,0,0,0,0,0.27586206896551724,0.06896551724137931,0.20689655172413793,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.13793103448275862,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
5841,440029554,SHERMAN,JOHN,S,OH,M,R,,voting,18760412,1823-05-10,1823,1876,53,44058411,0.0,3,1,0,0,4,2,1,1,0,1,5,1,0,0,0,0,0,0.15789473684210525,0.05263157894736842,0.0,0.0,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,19
4822,450074011,CONGER,OMAR,H,MI,M,R,7.0,voting,18780603,1818-04-01,1818,1878,60,45048220,0.0,0,0,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4281,450111314,HOWE,TIMOTHY,S,WI,M,R,,voting,18790212,1816-02-24,1816,1879,63,45042811,0.0,1,1,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,460002526,MORRILL,JUSTIN,S,VT,M,R,,voting,18790331,1810-04-14,1810,1879,69,46061251,0.0,2,0,0,0,3,0,3,0,1,0,0,0,0,1,0,0,0,0.2,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6220,460044279,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18791212,1826-10-31,1826,1879,53,46062200,0.0,6,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.6,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5325,460055333,REAGAN,JOHN,H,TX,M,D,1.0,voting,18800213,1818-10-08,1818,1880,62,46053250,0.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,460098251,MORRILL,JUSTIN,S,VT,M,R,,voting,18800513,1810-04-14,1810,1880,70,46061251,0.0,7,2,10,13,16,2,4,0,0,0,3,1,0,0,0,0,0,0.1206896551724138,0.034482758620689655,0.1724137931034483,0.22413793103448276,0.27586206896551724,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0,0.05172413793103448,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,58
4991,460165844,ELLIS,EZEKIEL,H,LA,M,D,2.0,voting,18810226,1840-10-15,1840,1881,41,46049910,0.0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5760,470053730,GEORGE,JAMES,S,MS,M,D,,voting,18820420,1826-10-20,1826,1882,56,47057601,0.0,2,0,0,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0.2,0.0,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6159,490148302,VEST,GEORGE,S,MO,M,D,,voting,18870221,1830-12-06,1830,1887,57,49061591,0.0,0,0,1,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.05,0.1,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5169,490153254,KING,JOHN,H,LA,M,D,5.0,voting,18870226,1842-04-20,1842,1887,45,49051690,0.0,2,0,0,0,1,0,0,1,0,0,0,2,3,1,0,0,0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.0,0.0,10
5268,510037983,EDMUNDS,GEORGE,S,VT,M,R,,voting,18900403,1828-02-01,1828,1890,62,51052681,0.0,2,0,1,1,1,6,6,0,1,0,1,0,1,0,0,0,0,0.1,0.0,0.05,0.05,0.05,0.3,0.3,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,20
6534,510043815,DANIEL,JOHN,S,VA,M,D,,voting,18900415,1842-09-05,1842,1890,48,51065341,0.0,5,0,3,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0.2631578947368421,0.0,0.15789473684210525,0.15789473684210525,0.0,0.15789473684210525,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
5268,510125620,EDMUNDS,GEORGE,S,VT,M,R,,voting,18900816,1828-02-01,1828,1890,62,51052681,0.0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5538,510133159,SANDERS,WILBUR,S,MT,M,R,,voting,18900826,1834-05-02,1834,1890,56,51055381,0.0,1,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6352,510213854,MORGAN,JOHN,S,AL,M,D,,voting,18910221,1824-06-20,1824,1891,67,51063521,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6534,520044617,DANIEL,JOHN,S,VA,M,D,,voting,18920418,1842-09-05,1842,1892,50,52065341,0.0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6534,520126214,DANIEL,JOHN,S,VA,M,D,,voting,18930203,1842-09-05,1842,1893,51,52065341,0.0,1,3,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0.1,0.3,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5780,530041869,HENDRIX,JOSEPH,H,NY,M,D,3.0,voting,18940104,1853-05-25,1853,1894,41,53057800,0.0,1,0,0,0,0,0,3,2,0,0,4,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
6041,540116929,CANNON,FRANK,S,UT,M,S,,voting,18970126,1859-01-25,1859,1897,38,54060411,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5669,540122768,VILAS,WILLIAM,S,WI,M,D,,voting,18970203,1840-07-09,1840,1897,57,54056691,0.0,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
6430,550132391,DINSMORE,HUGH,H,AR,M,D,5.0,voting,18980611,1850-12-24,1850,1898,48,55064300,0.0,4,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0.4,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6430,550132397,DINSMORE,HUGH,H,AR,M,D,5.0,voting,18980611,1850-12-24,1850,1898,48,55064300,0.0,1,0,1,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,10
