speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_11,cluster_0,cluster_8,cluster_14,cluster_1,cluster_9,cluster_2,cluster_13,cluster_4,cluster_5,cluster_12,cluster_3,cluster_6,cluster_7,cluster_10,cluster_11_p,cluster_0_p,cluster_8_p,cluster_14_p,cluster_1_p,cluster_9_p,cluster_2_p,cluster_13_p,cluster_4_p,cluster_5_p,cluster_12_p,cluster_3_p,cluster_6_p,cluster_7_p,cluster_10_p,n
4702,430000467,CARPENTER,MATTHEW,S,WI,M,R,,voting,18730311,1824-12-22,1824,1873,49,0.0,1,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0.1,0.3,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4091,430000783,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730314,1830-03-01,1830,1873,43,0.0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4702,430001056,CARPENTER,MATTHEW,S,WI,M,R,,voting,18730319,1824-12-22,1824,1873,49,0.0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4091,430001178,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730320,1830-03-01,1830,1873,43,0.0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,430002478,MORRILL,JUSTIN,S,VT,M,R,,voting,18731203,1810-04-14,1810,1873,63,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,430007329,LOGAN,JOHN,S,IL,M,R,,voting,18740106,1826-02-09,1826,1874,48,0.0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4947,430008300,WOOD,FERNANDO,H,NY,M,D,10.0,voting,18740108,1812-06-14,1812,1874,62,0.0,0,0,6,0,0,0,2,0,1,0,1,0,0,0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10
6125,430008392,MORRILL,JUSTIN,S,VT,M,R,,voting,18740109,1810-04-14,1810,1874,64,0.0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4217,430008752,ARTHUR,WILLIAM,H,KY,M,D,6.0,voting,18740110,1825-03-03,1825,1874,49,0.0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430009486,COX,SAMUEL,H,NY,M,D,6.0,voting,18740113,1824-09-30,1824,1874,50,0.0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
