speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_12,cluster_7,cluster_4,cluster_1,cluster_3,cluster_10,cluster_13,cluster_0,cluster_11,cluster_9,cluster_8,cluster_6,cluster_15,cluster_14,cluster_17,cluster_5,cluster_16,cluster_2,cluster_12_p,cluster_7_p,cluster_4_p,cluster_1_p,cluster_3_p,cluster_10_p,cluster_13_p,cluster_0_p,cluster_11_p,cluster_9_p,cluster_8_p,cluster_6_p,cluster_15_p,cluster_14_p,cluster_17_p,cluster_5_p,cluster_16_p,cluster_2_p,n
4210,430003109,WRIGHT,GEORGE,S,IA,M,R,,voting,18731208,1820-03-24,1820,1873,53,43042101,0.0,1,0,1,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0.1,0.0,0.1,0.3,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,430021298,HALE,EUGENE,H,ME,M,R,5.0,voting,18740216,1836-06-09,1836,1874,38,43065540,0.0,1,0,2,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0.1,0.0,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4240,430039076,COBURN,JOHN,H,IN,M,R,5.0,voting,18740408,1825-10-27,1825,1874,49,43042400,0.0,0,1,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4072,430049805,ALCORN,JAMES,S,MS,M,R,,voting,18740505,1816-11-04,1816,1874,58,43040721,3.607994503594365e-20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5024,430053572,KASSON,JOHN,H,IA,M,R,7.0,voting,18740513,1822-01-11,1822,1874,52,43050240,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430058995,CONKLING,ROSCOE,S,NY,M,R,,voting,18740525,1829-10-30,1829,1874,45,43047111,0.0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4869,440005708,JOYCE,CHARLES,H,VT,M,R,1.0,voting,18760121,1830-01-30,1830,1876,46,44048690,0.0,1,0,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0.1,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4555,440032172,BANNING,HENRY,H,OH,M,D,2.0,voting,18760418,1836-11-10,1836,1876,40,44045550,0.0,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4539,440048450,WILLIAMS,JAMES,H,IN,M,D,2.0,voting,18760617,1808-01-16,1808,1876,68,44045390,0.0,6,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,440063105,COX,SAMUEL,H,NY,M,D,6.0,voting,18760715,1824-09-30,1824,1876,52,44053990,0.0,0,1,1,0,1,3,0,1,11,0,0,0,1,0,0,0,1,0,0.0,0.05,0.05,0.0,0.05,0.15,0.0,0.05,0.55,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,20
