speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_6,cluster_2,cluster_1,cluster_5,cluster_11,cluster_8,cluster_0,cluster_13,cluster_3,cluster_4,cluster_7,cluster_9,cluster_12,cluster_10,cluster_6_p,cluster_2_p,cluster_1_p,cluster_5_p,cluster_11_p,cluster_8_p,cluster_0_p,cluster_13_p,cluster_3_p,cluster_4_p,cluster_7_p,cluster_9_p,cluster_12_p,cluster_10_p,n
3964,430005287,FENTON,REUBEN,S,NY,M,L,,voting,18731217,1819-07-04,1819,1873,54,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4301,430005592,MAYNARD,HORACE,H,TN,M,R,-1.0,voting,18731217,1814-08-30,1814,1873,59,0.0,0,5,2,0,0,0,0,0,0,3,0,0,0,0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,10
4301,430012489,MAYNARD,HORACE,H,TN,M,R,-1.0,voting,18740122,1814-08-30,1814,1874,60,3.662039044248266e-13,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.6,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4646,430013410,ROBBINS,WILLIAM,H,NC,M,D,7.0,voting,18740124,1828-10-26,1828,1874,46,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430018788,BECK,JAMES,H,KY,M,D,7.0,voting,18740207,1822-02-13,1822,1874,52,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5264,430020573,DAWES,HENRY,H,MA,M,R,11.0,voting,18740212,1816-10-30,1816,1874,58,0.0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430028193,SARGENT,AARON,S,CA,M,R,,voting,18740306,1827-09-28,1827,1874,47,0.0,1,0,0,2,0,7,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4015,430036883,PRATT,DANIEL,S,IN,M,R,,voting,18740403,1813-10-26,1813,1874,61,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10
5399,430045342,COX,SAMUEL,H,NY,M,D,6.0,voting,18740422,1824-09-30,1824,1874,50,0.0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4641,430047410,RAINEY,JOSEPH,H,SC,M,R,1.0,voting,18740427,1832-06-21,1832,1874,42,0.0,0,0,1,1,7,0,1,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
