speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_1,cluster_11,cluster_0,cluster_5,cluster_2,cluster_9,cluster_12,cluster_3,cluster_10,cluster_7,cluster_23,cluster_6,cluster_13,cluster_19,cluster_8,cluster_15,cluster_16,cluster_18,cluster_4,cluster_14,cluster_21,cluster_22,cluster_17,cluster_20,cluster_1_p,cluster_11_p,cluster_0_p,cluster_5_p,cluster_2_p,cluster_9_p,cluster_12_p,cluster_3_p,cluster_10_p,cluster_7_p,cluster_23_p,cluster_6_p,cluster_13_p,cluster_19_p,cluster_8_p,cluster_15_p,cluster_16_p,cluster_18_p,cluster_4_p,cluster_14_p,cluster_21_p,cluster_22_p,cluster_17_p,cluster_20_p,n
5542,510025031,ATKINSON,LOUIS,H,PA,M,R,18.0,voting,18900310,1841-04-16,1841,1890,49,0.0,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6684,530071870,HEPBURN,WILLIAM,H,IA,M,R,8.0,voting,18940312,1833-11-04,1833,1894,61,1.1550375394149888e-12,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5777,530167151,HEARD,JOHN,H,MO,M,D,7.0,voting,18940810,1840-10-29,1840,1894,54,0.0,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6476,560013892,PLATT,THOMAS,S,NY,M,R,,voting,19000207,1833-07-15,1833,1900,67,0.0,2,0,4,1,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0.05,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6324,560015900,HEATWOLE,JOEL,H,MN,M,R,3.0,voting,19000213,1856-08-22,1856,1900,44,1.3581229482420386e-10,1,0,1,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6251,580033286,QUARLES,JOSEPH,S,WI,M,R,,voting,19040229,1843-12-16,1843,1904,61,9.212188854643623e-15,9,1,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.05555555555555555,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
6251,580033288,QUARLES,JOSEPH,S,WI,M,R,,voting,19040229,1843-12-16,1843,1904,61,0.2154022084848254,3,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7188,580033289,GALLINGER,JACOB,S,NH,M,R,,voting,19040229,1837-03-28,1837,1904,67,0.0054897781699613,3,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6526,580035005,BURKETT,ELMER,H,NE,M,R,1.0,voting,19040302,1867-12-01,1867,1904,37,0.0,1,0,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6251,580052742,QUARLES,JOSEPH,S,WI,M,R,,voting,19040329,1843-12-16,1843,1904,61,7.81071935047214e-14,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.7,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
