speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_1,cluster_3,cluster_0,cluster_5,cluster_7,cluster_6,cluster_4,cluster_12,cluster_11,cluster_13,cluster_8,cluster_15,cluster_9,cluster_16,cluster_2,cluster_10,cluster_14,cluster_1_p,cluster_3_p,cluster_0_p,cluster_5_p,cluster_7_p,cluster_6_p,cluster_4_p,cluster_12_p,cluster_11_p,cluster_13_p,cluster_8_p,cluster_15_p,cluster_9_p,cluster_16_p,cluster_2_p,cluster_10_p,cluster_14_p,n
5399,430002750,COX,SAMUEL,H,NY,M,D,6.0,voting,18731203,1824-09-30,1824,1873,49,0.0,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430032467,THURMAN,ALLEN,S,OH,M,D,,voting,18740324,1813-11-13,1813,1874,61,0.0,0,1,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.2,0.4,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5264,430036798,DAWES,HENRY,H,MA,M,R,11.0,voting,18740402,1816-10-30,1816,1874,58,0.0,0,2,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,430039919,STEWART,WILLIAM,S,NV,M,R,,voting,18740410,1827-08-09,1827,1874,47,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5264,430042939,DAWES,HENRY,H,MA,M,R,11.0,voting,18740416,1816-10-30,1816,1874,58,0.0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4343,430046958,SAYLER,HENRY,H,IN,M,R,10.0,voting,18740425,1836-03-31,1836,1874,38,0.0,3,0,0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0.3,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5212,430067048,STORM,JOHN,H,PA,M,D,11.0,voting,18740609,1838-09-19,1838,1874,36,0.0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4301,430081880,MAYNARD,HORACE,H,TN,M,R,-1.0,voting,18741218,1814-08-30,1814,1874,60,0.0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4205,430083747,WEST,JOSEPH,S,LA,M,R,,voting,18750106,1822-09-19,1822,1875,53,0.0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,430083793,EDMUNDS,GEORGE,S,VT,M,R,,voting,18750106,1828-02-01,1828,1875,47,0.0,1,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430084745,SHERMAN,JOHN,S,OH,M,R,,voting,18750108,1823-05-10,1823,1875,52,0.0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430087745,SHERMAN,JOHN,S,OH,M,R,,voting,18750116,1823-05-10,1823,1875,52,0.0,8,4,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4,0.2,0.25,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5264,430089325,DAWES,HENRY,H,MA,M,R,11.0,voting,18750120,1816-10-30,1816,1875,59,0.0,1,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430089909,SHERMAN,JOHN,S,OH,M,R,,voting,18750122,1823-05-10,1823,1875,52,0.0,2,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.2,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4397,430090205,PEASE,HENRY,S,MS,M,R,,voting,18750125,1835-02-19,1835,1875,40,0.0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4397,430090211,PEASE,HENRY,S,MS,M,R,,voting,18750125,1835-02-19,1835,1875,40,0.0,1,1,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4397,430090656,PEASE,HENRY,S,MS,M,R,,voting,18750126,1835-02-19,1835,1875,40,0.0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6220,430110938,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18750226,1826-10-31,1826,1875,49,0.0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,440002721,SHERMAN,JOHN,S,OH,M,R,,voting,18760106,1823-05-10,1823,1876,53,0.0,0,1,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4544,440017034,WOODWORTH,LAURIN,H,OH,M,R,17.0,voting,18760304,1837-09-10,1837,1876,39,0.0,1,2,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4544,440017167,WOODWORTH,LAURIN,H,OH,M,R,17.0,voting,18760306,1837-09-10,1837,1876,39,2.1635546595564384e-22,1,1,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0.0,0.5,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,440029004,SARGENT,AARON,S,CA,M,R,,voting,18760411,1827-09-28,1827,1876,49,0.0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4416,440039842,BURLEIGH,JOHN,H,ME,M,R,1.0,voting,18760522,1822-10-09,1822,1876,54,0.0,1,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0.1,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4515,440045952,TARBOX,JOHN,H,MA,M,D,7.0,voting,18760608,1838-05-06,1838,1876,38,0.0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5325,440046007,REAGAN,JOHN,H,TX,M,D,1.0,voting,18760608,1818-10-08,1818,1876,58,0.0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6093,440048234,HOLMAN,WILLIAM,H,IN,M,D,5.0,voting,18760617,1822-09-06,1822,1876,54,0.0,0,2,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0.2,0.2,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,440058355,SHERMAN,JOHN,S,OH,M,R,,voting,18760705,1823-05-10,1823,1876,53,0.0,0,1,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0.0,0.1,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4591,440060594,FOSTER,CHARLES,H,OH,M,R,10.0,voting,18760710,1828-04-12,1828,1876,48,0.0,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5921,440061109,CULBERSON,DAVID,H,TX,M,D,2.0,voting,18760712,1830-09-29,1830,1876,46,0.0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,440064152,SHERMAN,JOHN,S,OH,M,R,,voting,18760718,1823-05-10,1823,1876,53,0.0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,440066591,SHERMAN,JOHN,S,OH,M,R,,voting,18760722,1823-05-10,1823,1876,53,0.0,1,0,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1,0.0,0.5,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,440068853,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18760729,1814-04-12,1814,1876,62,0.0,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,440075095,SHERMAN,JOHN,S,OH,M,R,,voting,18760809,1823-05-10,1823,1876,53,0.0,6,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6327,440075297,HOAR,GEORGE,H,MA,M,R,9.0,voting,18760809,1826-08-29,1826,1876,50,0.0,1,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
