speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_5,cluster_0,cluster_6,cluster_8,cluster_4,cluster_9,cluster_2,cluster_1,cluster_3,cluster_12,cluster_11,cluster_13,cluster_10,cluster_7,cluster_14,cluster_5_p,cluster_0_p,cluster_6_p,cluster_8_p,cluster_4_p,cluster_9_p,cluster_2_p,cluster_1_p,cluster_3_p,cluster_12_p,cluster_11_p,cluster_13_p,cluster_10_p,cluster_7_p,cluster_14_p,n
4214,430014525,ALBRIGHT,CHARLES,H,PA,M,R,-1.0,voting,18740128,1830-12-13,1830,1874,44,0.0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4535,430014530,WHEELER,WILLIAM,H,NY,M,R,18.0,voting,18740128,1819-06-30,1819,1874,55,0.0,6,16,1,0,2,0,0,12,1,2,0,0,0,0,0,0.15,0.4,0.025,0.0,0.05,0.0,0.0,0.3,0.025,0.05,0.0,0.0,0.0,0.0,0.0,40
4454,430027501,HURLBUT,STEPHEN,H,IL,M,R,4.0,voting,18740304,1815-11-29,1815,1874,59,0.0,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4388,430045950,WILLIAMS,WILLIAM,H,IN,M,R,-1.0,voting,18740423,1821-05-11,1821,1874,53,0.0,0,15,1,0,0,2,0,2,0,0,0,0,0,0,0,0.0,0.75,0.05,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4285,430046708,KELLOGG,STEPHEN,H,CT,M,R,2.0,voting,18740424,1822-04-05,1822,1874,52,0.0,0,2,2,0,1,4,0,1,0,0,0,0,0,0,0,0.0,0.2,0.2,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4395,430079079,YOUNG,PIERCE,H,GA,M,D,7.0,voting,18740623,1836-11-15,1836,1874,38,0.0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4626,430111489,LUTTRELL,JOHN,H,CA,M,D,3.0,voting,18750227,1831-06-27,1831,1875,44,0.0,1,0,0,0,0,0,1,0,3,4,0,0,1,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.4,0.0,0.0,0.1,0.0,0.0,10
5102,440006609,YOUNG,HIRAM,H,TN,M,D,10.0,voting,18760125,1828-12-14,1828,1876,48,0.0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4989,440056545,EATON,WILLIAM,S,CT,M,D,,voting,18760630,1816-10-11,1816,1876,60,0.0,2,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10
4515,440092165,TARBOX,JOHN,H,MA,M,D,7.0,voting,18770120,1838-05-06,1838,1877,39,0.0,0,3,1,2,3,0,0,0,0,0,0,1,0,0,0,0.0,0.3,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
5207,440094406,SINGLETON,OTHO,H,MS,M,D,4.0,voting,18770129,1814-10-14,1814,1877,63,0.0,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4555,440112075,BANNING,HENRY,H,OH,M,D,2.0,voting,18770302,1836-11-10,1836,1877,41,0.0,2,13,1,0,1,2,0,9,2,0,0,0,0,0,0,0.06666666666666667,0.43333333333333335,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.3,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,30
4807,450003717,ATKINS,JOHN,H,TN,M,D,8.0,voting,18771109,1825-06-04,1825,1877,52,7.956241059233658e-10,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5221,450003782,TUCKER,JOHN,H,VA,M,D,6.0,voting,18771109,1823-12-24,1823,1877,54,0.0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5221,450003806,TUCKER,JOHN,H,VA,M,D,6.0,voting,18771109,1823-12-24,1823,1877,54,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,10
4822,450004216,CONGER,OMAR,H,MI,M,R,7.0,voting,18771110,1818-04-01,1818,1877,59,0.0,1,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4801,450004865,WINDOM,WILLIAM,S,MN,M,R,,voting,18771115,1827-05-10,1827,1877,50,0.0,0,1,1,0,0,0,0,7,0,1,0,0,0,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5367,450004869,BECK,JAMES,S,KY,M,D,,voting,18771115,1822-02-13,1822,1877,55,0.0,1,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4989,450004927,EATON,WILLIAM,S,CT,M,D,,voting,18771115,1816-10-11,1816,1877,61,3.388148594582243e-06,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,450004932,SARGENT,AARON,S,CA,M,R,,voting,18771115,1827-09-28,1827,1877,50,0.0,1,1,0,0,0,1,0,5,1,1,0,0,0,0,0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
4989,450004992,EATON,WILLIAM,S,CT,M,D,,voting,18771115,1816-10-11,1816,1877,61,2.7126727386937406e-06,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4807,450005677,ATKINS,JOHN,H,TN,M,D,8.0,voting,18771117,1825-06-04,1825,1877,52,0.0,0,1,1,0,0,1,0,5,0,2,0,0,0,0,0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
5268,450021596,EDMUNDS,GEORGE,S,VT,M,R,,voting,18780207,1828-02-01,1828,1878,50,0.0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5219,450057212,THROCKMORTON,JAMES,H,TX,M,D,3.0,voting,18780501,1825-02-01,1825,1878,53,0.0,0,1,0,0,0,6,0,2,0,1,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5162,450065658,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18780518,1822-07-31,1822,1878,56,0.0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4779,450067047,SCHLEICHER,GUSTAVE,H,TX,M,D,6.0,voting,18780522,1823-11-19,1823,1878,55,0.0,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,450067204,COX,SAMUEL,H,NY,M,D,6.0,voting,18780522,1824-09-30,1824,1878,54,0.0,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4546,450076388,BLAINE,JAMES,S,ME,M,R,,voting,18780606,1830-01-31,1830,1878,48,0.0,0,2,0,0,0,0,0,7,0,1,0,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5268,450076406,EDMUNDS,GEORGE,S,VT,M,R,,voting,18780606,1828-02-01,1828,1878,50,0.0,1,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,450076415,ALLISON,WILLIAM,S,IA,M,R,,voting,18780606,1829-03-02,1829,1878,49,0.0,0,1,0,0,1,0,0,7,0,1,0,0,0,0,0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
6403,450076514,ALLISON,WILLIAM,S,IA,M,R,,voting,18780606,1829-03-02,1829,1878,49,3.5981359134841114e-10,0,0,0,0,0,1,0,6,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10
5509,450096121,TOWNSHEND,RICHARD,H,IL,M,D,19.0,voting,18781212,1840-04-30,1840,1878,38,0.0,1,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4709,460029097,CLYMER,HIESTER,H,PA,M,D,8.0,voting,18790611,1827-11-03,1827,1879,52,0.0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
