speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_1,cluster_3,cluster_6,cluster_11,cluster_4,cluster_0,cluster_7,cluster_9,cluster_13,cluster_8,cluster_10,cluster_12,cluster_15,cluster_16,cluster_14,cluster_5,cluster_2_p,cluster_1_p,cluster_3_p,cluster_6_p,cluster_11_p,cluster_4_p,cluster_0_p,cluster_7_p,cluster_9_p,cluster_13_p,cluster_8_p,cluster_10_p,cluster_12_p,cluster_15_p,cluster_16_p,cluster_14_p,cluster_5_p,n
4711,430001127,CONKLING,ROSCOE,S,NY,M,R,,voting,18730319,1829-10-30,1829,1873,44,43047111,0.0,1,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430001519,SHERMAN,JOHN,S,OH,M,R,,voting,18730322,1823-05-10,1823,1873,50,43058411,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5317,430001804,NORWOOD,THOMAS,S,GA,M,D,,voting,18730325,1830-04-26,1830,1873,43,43053171,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4589,430002785,FERRY,THOMAS,S,MI,M,R,,voting,18731204,1827-06-10,1827,1873,46,43045891,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4567,430013411,CAIN,RICHARD,H,SC,M,R,-1.0,voting,18740124,1825-04-12,1825,1874,49,43045670,0.0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430013755,COX,SAMUEL,H,NY,M,D,6.0,voting,18740126,1824-09-30,1824,1874,50,43053990,3.6624321274873375e-06,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6093,430029520,HOLMAN,WILLIAM,H,IN,M,D,3.0,voting,18740317,1822-09-06,1822,1874,52,43060930,0.0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4309,430034386,MELLISH,DAVID,H,NY,M,R,9.0,voting,18740327,1831-01-02,1831,1874,43,43043090,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,430047356,MORRILL,JUSTIN,S,VT,M,R,,voting,18740427,1810-04-14,1810,1874,64,43061251,0.0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4575,430056752,CRITTENDEN,THOMAS,H,MO,M,D,7.0,voting,18740519,1832-01-01,1832,1874,42,43045750,0.0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
