speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_2,cluster_5,cluster_0,cluster_10,cluster_8,cluster_17,cluster_14,cluster_12,cluster_3,cluster_4,cluster_11,cluster_1,cluster_18,cluster_16,cluster_13,cluster_9,cluster_7,cluster_15,cluster_19,cluster_6,cluster_2_p,cluster_5_p,cluster_0_p,cluster_10_p,cluster_8_p,cluster_17_p,cluster_14_p,cluster_12_p,cluster_3_p,cluster_4_p,cluster_11_p,cluster_1_p,cluster_18_p,cluster_16_p,cluster_13_p,cluster_9_p,cluster_7_p,cluster_15_p,cluster_19_p,cluster_6_p,n
7029,610075464,CLAYTON,HENRY,H,AL,M,D,3.0,voting,19090804,1857-02-10,1857,1909,52,0.0,2,1,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.2,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6767,610087718,DOUGLAS,ALBERT,H,OH,M,R,11.0,voting,19100125,1852-04-25,1852,1910,58,0.0,2,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6787,610186358,GRAFF,JOSEPH,H,IL,M,R,16.0,voting,19100531,1854-07-01,1854,1910,56,0.0,0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7812,610197962,RANSDELL,JOSEPH,H,LA,M,D,5.0,voting,19100614,1858-10-07,1858,1910,52,0.0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7812,610241746,RANSDELL,JOSEPH,H,LA,M,D,5.0,voting,19110202,1858-10-07,1858,1911,53,0.0,2,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.5,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6994,620101738,WICKLIFFE,ROBERT,H,LA,M,D,6.0,voting,19120302,1874-05-01,1874,1912,38,0.0,2,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.0,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7257,620104161,TRIBBLE,SAMUEL,H,GA,M,D,8.0,voting,19120305,1869-11-15,1869,1912,43,1.4278534116447958e-12,3,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7257,620104163,TRIBBLE,SAMUEL,H,GA,M,D,8.0,voting,19120305,1869-11-15,1869,1912,43,0.3781353084506229,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7460,620242243,LEVER,ASBURY,H,SC,M,D,7.0,voting,19120813,1875-01-05,1875,1912,37,0.0,3,0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.0,0.4,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
7757,620242274,TOWNER,HORACE,H,IA,M,R,8.0,voting,19120813,1855-10-23,1855,1912,57,0.0,2,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
