speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_0,cluster_3,cluster_2,cluster_1,cluster_9,cluster_8,cluster_7,cluster_6,cluster_5,cluster_4,cluster_10,cluster_0_p,cluster_3_p,cluster_2_p,cluster_1_p,cluster_9_p,cluster_8_p,cluster_7_p,cluster_6_p,cluster_5_p,cluster_4_p,cluster_10_p,n
4210,430001773,WRIGHT,GEORGE,S,IA,M,R,,voting,18730325,1820-03-24,1820,1873,53,0.0,15,0,0,3,0,0,0,0,0,0,0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4700,430007402,BRIGHT,JOHN,H,TN,M,D,4.0,voting,18740106,1817-01-20,1817,1874,57,0.0,4,0,2,4,0,0,0,0,0,0,0,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4217,430008752,ARTHUR,WILLIAM,H,KY,M,D,6.0,voting,18740110,1825-03-03,1825,1874,49,0.0,15,0,0,3,0,0,0,0,0,0,0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4566,430014080,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18740127,1818-11-05,1818,1874,56,0.0,8,0,0,1,0,0,0,0,0,0,0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4314,430015324,MORTON,OLIVER,S,IN,M,R,,voting,18740130,1823-08-04,1823,1874,51,0.0,1,7,2,0,0,0,0,0,0,0,0,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430020611,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740212,1831-11-19,1831,1874,43,0.0,2,1,7,0,0,0,0,0,0,0,0,0.2,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430028448,BECK,JAMES,H,KY,M,D,7.0,voting,18740307,1822-02-13,1822,1874,52,0.0,7,0,0,2,0,0,0,0,0,0,0,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
3937,430029069,BUCKINGHAM,WILLIAM,S,CT,M,R,,voting,18740313,1804-05-28,1804,1874,70,0.0,9,0,1,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430029090,COX,SAMUEL,H,NY,M,D,6.0,voting,18740314,1824-09-30,1824,1874,50,0.0,1,0,9,0,0,0,0,0,0,0,0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5189,430030666,NEGLEY,JAMES,H,PA,M,R,22.0,voting,18740319,1826-12-22,1826,1874,48,2.1402686312021132e-08,1,0,8,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
