speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_4,cluster_1,cluster_6,cluster_3,cluster_2,cluster_12,cluster_5,cluster_7,cluster_11,cluster_8,cluster_0,cluster_14,cluster_16,cluster_13,cluster_15,cluster_9,cluster_10,cluster_4_p,cluster_1_p,cluster_6_p,cluster_3_p,cluster_2_p,cluster_12_p,cluster_5_p,cluster_7_p,cluster_11_p,cluster_8_p,cluster_0_p,cluster_14_p,cluster_16_p,cluster_13_p,cluster_15_p,cluster_9_p,cluster_10_p,n
4027,430025905,SCOTT,JOHN,S,PA,M,R,,voting,18740227,1824-07-24,1824,1874,50,0.0,7,5,1,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0.35,0.25,0.05,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,20
6220,430068216,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18740611,1826-10-31,1826,1874,48,0.0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430082845,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18741222,1831-11-19,1831,1874,43,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4661,430085458,SWANN,THOMAS,H,MD,M,D,4.0,voting,18750111,1809-02-03,1809,1875,66,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4408,440031221,BOOTH,NEWTON,S,CA,M,R,,voting,18760417,1825-12-30,1825,1876,51,4.626505850950642e-11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4521,440034678,TOWNSEND,WASHINGTON,H,PA,M,R,6.0,voting,18760426,1813-01-20,1813,1876,63,0.0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4408,440045708,BOOTH,NEWTON,S,CA,M,R,,voting,18760608,1825-12-30,1825,1876,51,0.0,1,1,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6093,440105936,HOLMAN,WILLIAM,H,IN,M,D,5.0,voting,18770222,1822-09-06,1822,1877,55,0.0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4757,440108249,MONROE,JAMES,H,OH,M,R,18.0,voting,18770226,1821-07-18,1821,1877,56,0.0,0,0,0,0,11,0,0,1,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5789473684210527,0.0,0.0,0.05263157894736842,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
4546,450046572,BLAINE,JAMES,S,ME,M,R,,voting,18780411,1830-01-31,1830,1878,48,0.0,0,0,0,8,9,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4444444444444444,0.5,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5133,450047081,EDEN,JOHN,H,IL,M,D,15.0,voting,18780412,1826-02-01,1826,1878,52,0.0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4807,450110681,ATKINS,JOHN,H,TN,M,D,8.0,voting,18790210,1825-06-04,1825,1879,54,0.0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4566,450111049,BUTLER,BENJAMIN,H,MA,M,R,7.0,voting,18790211,1818-11-05,1818,1879,61,0.0,1,1,0,6,20,0,0,1,1,0,0,0,0,0,0,0,0,0.03333333333333333,0.03333333333333333,0.0,0.2,0.6666666666666666,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
4566,450111060,BUTLER,BENJAMIN,H,MA,M,R,7.0,voting,18790211,1818-11-05,1818,1879,61,0.0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5007,450111077,HASKELL,DUDLEY,H,KS,M,R,2.0,voting,18790211,1842-03-23,1842,1879,37,0.0,1,0,0,3,5,1,0,0,2,8,0,0,0,0,0,0,0,0.05,0.0,0.0,0.15,0.25,0.05,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5459,460146013,MCPHERSON,JOHN,S,NJ,M,D,,voting,18810204,1833-05-09,1833,1881,48,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
6327,470008458,HOAR,GEORGE,S,MA,M,R,,voting,18811029,1826-08-29,1826,1881,55,0.0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.10526315789473684,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
5588,470098849,FLOWER,ROSWELL,H,NY,M,D,11.0,voting,18820706,1835-08-07,1835,1882,47,0.0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5175,470144255,LOGAN,JOHN,S,IL,M,R,,voting,18830104,1826-02-09,1826,1883,57,0.0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5059,470182141,RAY,OSSIAN,H,NH,M,R,3.0,voting,18830215,1835-12-13,1835,1883,48,6.283526065934672e-23,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5059,470182145,RAY,OSSIAN,H,NH,M,R,3.0,voting,18830215,1835-12-13,1835,1883,48,4.809123157887201e-12,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5861,470182157,VAN VOORHIS,JOHN,H,NY,M,R,30.0,voting,18830215,1826-10-22,1826,1883,57,0.0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5110,480018389,BEACH,LEWIS,H,NY,M,D,14.0,voting,18840221,1835-03-30,1835,1884,49,0.0,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5018,480018432,HUNT,CARLETON,H,LA,M,D,1.0,voting,18840221,1836-01-01,1836,1884,48,0.0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5018,480018434,HUNT,CARLETON,H,LA,M,D,1.0,voting,18840221,1836-01-01,1836,1884,48,0.0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5066,480018442,ROSECRANS,WILLIAM,H,CA,M,D,1.0,voting,18840221,1819-09-06,1819,1884,65,0.0,5,1,2,10,8,1,0,1,0,1,0,0,0,0,0,0,0,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.3448275862068966,0.27586206896551724,0.034482758620689655,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
5014,480045630,HOPKINS,JAMES,H,PA,M,D,22.0,voting,18840419,1832-11-03,1832,1884,52,0.0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,480055753,CONGER,OMAR,S,MI,M,R,,voting,18840509,1818-04-01,1818,1884,66,0.0,3,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0.1,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
5164,480061360,INGALLS,JOHN,S,KS,M,R,,voting,18840522,1833-12-29,1833,1884,51,0.0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5449,480129436,MANDERSON,CHARLES,S,NE,M,R,,voting,18850225,1837-02-09,1837,1885,48,0.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
6220,490012212,HAWLEY,JOSEPH,S,CT,M,R,,voting,18860205,1826-10-31,1826,1886,60,1.3450731336347837e-05,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5410,490033761,DOLPH,JOSEPH,S,OR,M,R,,voting,18860406,1835-10-19,1835,1886,51,0.0,0,0,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.3,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5339,490070835,TAULBEE,WILLIAM,H,KY,M,D,10.0,voting,18860611,1851-10-22,1851,1886,35,0.0,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,490099369,HALE,EUGENE,S,ME,M,R,,voting,18860716,1836-06-09,1836,1886,50,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5415,490100538,FARQUHAR,JOHN,H,NY,M,R,32.0,voting,18860717,1832-04-17,1832,1886,54,0.0001468336120896,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5665,500031916,TILLMAN,GEORGE,H,SC,M,D,2.0,voting,18880327,1826-08-21,1826,1888,62,0.0,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5285,500044211,HISCOCK,FRANK,S,NY,M,R,,voting,18880423,1834-09-06,1834,1888,54,0.0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6480,500130502,RICHARDSON,JAMES,H,TN,M,D,5.0,voting,18881005,1843-03-10,1843,1888,45,8.30406136150529e-06,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
6480,500146728,RICHARDSON,JAMES,H,TN,M,D,5.0,voting,18890108,1843-03-10,1843,1889,46,0.0,1,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.0,0.0,0.2222222222222222,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
6480,500146859,RICHARDSON,JAMES,H,TN,M,D,5.0,voting,18890108,1843-03-10,1843,1889,46,0.0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
6262,500170873,STEWART,WILLIAM,S,NV,M,R,,voting,18890215,1827-08-09,1827,1889,62,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5490,510198727,ROGERS,JOHN,H,AR,M,D,4.0,voting,18910205,1845-10-09,1845,1891,46,0.0,1,1,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,10
5490,510198772,ROGERS,JOHN,H,AR,M,D,4.0,voting,18910205,1845-10-09,1845,1891,46,0.0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
6125,520002385,MORRILL,JUSTIN,S,VT,M,R,,voting,18920114,1810-04-14,1810,1892,82,2.611613506783563e-14,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6196,520009892,COCKRELL,FRANCIS,S,MO,M,D,,voting,18920208,1834-10-01,1834,1892,58,0.0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5449,520009897,MANDERSON,CHARLES,S,NE,M,R,,voting,18920208,1837-02-09,1837,1892,55,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5449,520009898,MANDERSON,CHARLES,S,NE,M,R,,voting,18920208,1837-02-09,1837,1892,55,1.2787028617593146e-09,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
